area_fips,area_title,industry_code,industry_title,year,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,avg_wkly_wage,target_industry,data_year,avg_emplvl,size_category,time,quarter_1,quarter_2,quarter_3,quarter_4,post_policy,treatment,treat_post,treat_target,post_target,treat_post_target
6000,California -- Statewide,722511,Full-service restaurants,2013,78,76,81,269734,265,1,2013,78.33333333333333,medium,2013.0,True,False,False,False,0,1,0,1,0,0
6000,California -- Statewide,722511,Full-service restaurants,2013,69,46,45,234659,338,1,2013,53.333333333333336,medium,2013.25,False,True,False,False,0,1,0,1,0,0
6000,California -- Statewide,722511,Full-service restaurants,2013,41,40,38,125822,244,1,2013,39.666666666666664,medium,2013.5,False,False,True,False,0,1,0,1,0,0
6000,California -- Statewide,722511,Full-service restaurants,2013,34,39,36,144911,307,1,2013,36.333333333333336,medium,2013.75,False,False,False,True,0,1,0,1,0,0
6000,California -- Statewide,722513,Limited-service restaurants,2013,501,505,505,10339271,1579,0,2013,503.6666666666667,medium,2013.0,True,False,False,False,0,1,0,0,0,0
6000,California -- Statewide,722513,Limited-service restaurants,2013,492,482,486,8683154,1372,0,2013,486.6666666666667,medium,2013.25,False,True,False,False,0,1,0,0,0,0
6000,California -- Statewide,722513,Limited-service restaurants,2013,486,484,492,10137241,1600,0,2013,487.3333333333333,medium,2013.5,False,False,True,False,0,1,0,0,0,0
6000,California -- Statewide,722513,Limited-service restaurants,2013,479,473,469,8774467,1425,0,2013,473.6666666666667,medium,2013.75,False,False,False,True,0,1,0,0,0,0
6000,California -- Statewide,722511,Full-service restaurants,2013,0,0,0,0,0,1,2013,0.0,small,2013.0,True,False,False,False,0,1,0,1,0,0
6000,California -- Statewide,722511,Full-service restaurants,2013,0,0,0,0,0,1,2013,0.0,small,2013.25,False,True,False,False,0,1,0,1,0,0
6000,California -- Statewide,722511,Full-service restaurants,2013,0,0,0,0,0,1,2013,0.0,small,2013.5,False,False,True,False,0,1,0,1,0,0
6000,California -- Statewide,722511,Full-service restaurants,2013,0,0,0,0,0,1,2013,0.0,small,2013.75,False,False,False,True,0,1,0,1,0,0
6000,California -- Statewide,722511,Full-service restaurants,2013,556598,561376,568247,2739760223,375,1,2013,562073.6666666666,large,2013.0,True,False,False,False,0,1,0,1,0,0
6000,California -- Statewide,722511,Full-service restaurants,2013,575318,583196,586229,2902848185,384,1,2013,581581.0,large,2013.25,False,True,False,False,0,1,0,1,0,0
6000,California -- Statewide,722511,Full-service restaurants,2013,588244,590150,587895,2977888047,389,1,2013,588763.0,large,2013.5,False,False,True,False,0,1,0,1,0,0
6000,California -- Statewide,722511,Full-service restaurants,2013,586845,589175,590489,2986421575,390,1,2013,588836.3333333334,large,2013.75,False,False,False,True,0,1,0,1,0,0
6000,California -- Statewide,722513,Limited-service restaurants,2013,411442,417443,421826,1524509771,281,0,2013,416903.6666666667,medium,2013.0,True,False,False,False,0,1,0,0,0,0
6000,California -- Statewide,722513,Limited-service restaurants,2013,428989,434800,437285,1615977292,287,0,2013,433691.3333333333,large,2013.25,False,True,False,False,0,1,0,0,0,0
6000,California -- Statewide,722513,Limited-service restaurants,2013,437662,440315,439984,1667189227,292,0,2013,439320.3333333333,large,2013.5,False,False,True,False,0,1,0,0,0,0
6000,California -- Statewide,722513,Limited-service restaurants,2013,438138,440493,440719,1673560673,293,0,2013,439783.3333333333,large,2013.75,False,False,False,True,0,1,0,0,0,0
